"DateTime";"Wilgotność";"Temperatura Average";"Temperatura Range (low)";"Temperatura Range (high)"
"2022-01-17 00:00:00";37;22,55;20;26,6
"2022-01-18 00:00:00";35;21,96;18,7;26,6
"2022-01-19 00:00:00";37;21,75;18,8;27,3
"2022-01-20 00:00:00";36;22,2;19,1;27,4
"2022-01-21 00:00:00";33;22,46;18,8;26,8
"2022-01-22 00:00:00";34;21,55;18,6;25,8
"2022-01-23 00:00:00";33;21,63;18;26,7
"2022-01-24 00:00:00";33;22,15;18,5;26,9
"2022-01-25 00:00:00";37;22,47;19,3;28,3
"2022-01-26 00:00:00";38;22,48;19,9;26,9
"2022-01-27 00:00:00";38;20,85;18,2;25,8
"2022-01-28 00:00:00";37;20,42;17,3;26,7
"2022-01-29 00:00:00";37;21,1;18;25,5
"2022-01-30 00:00:00";38;21,76;18,7;26,6
"2022-01-31 00:00:00";36;21,87;19,3;25,8
"2022-02-01 00:00:00";36;20,16;17,3;25,6
"2022-02-02 00:00:00";37;19,39;16,7;26
"2022-02-03 00:00:00";38;19,85;17;25,8
"2022-02-04 00:00:00";40;19,57;16,8;25,3
"2022-02-05 00:00:00";40;20,87;17,7;26,6
"2022-02-06 00:00:00";39;21,71;18,4;27,4
"2022-02-07 00:00:00";40;20,91;18,6;25,6
"2022-02-08 00:00:00";40;20,28;17,5;25,8
"2022-02-09 00:00:00";42;20,45;18,2;26
"2022-02-10 00:00:00";44;20,71;18,3;26,7
"2022-02-11 00:00:00";42;21,55;18,8;26,3
"2022-02-12 00:00:00";37;22,74;18,8;28,1
"2022-02-13 00:00:00";35;22,81;19,8;28
"2022-02-14 00:00:00";35;21,52;19,3;26,6
"2022-02-15 00:00:00";37;21,38;19;26,5
"2022-02-16 00:00:00";38;21,68;19,7;26,6
"2022-02-17 00:00:00";40;21,92;20;25,3
"2022-02-18 00:00:00";39;21,38;19,1;27,1
"2022-02-19 00:00:00";39;21,3;18,5;26,3
"2022-02-20 00:00:00";38;21,75;18,6;26,3
"2022-02-21 00:00:00";40,4204545454545;21,1371212121212;18,8;25,9
