"DateTime";"Wilgotność";"Temperatura Average";"Temperatura Range (low)";"Temperatura Range (high)"
"2021-08-26 00:00:00";66;18,04;17,8;18,7
"2021-08-27 00:00:00";72;17,8;17,6;17,9
"2021-08-28 00:00:00";75;17,72;17,5;17,9
"2021-08-29 00:00:00";70;19,5;17,4;25,4
"2021-08-30 00:00:00";64;22,37;20,7;25,8
"2021-08-31 00:00:00";62;23,61;21,9;27,6
"2021-09-01 00:00:00";57;24,32;22,4;27,6
"2021-09-02 00:00:00";52;23,54;22,1;25,4
"2021-09-03 00:00:00";54;21,3;20,8;22,3
"2021-09-04 00:00:00";51;20,28;19,6;21,2
"2021-09-05 00:00:00";49;20,03;18,6;23,9
"2021-09-06 00:00:00";48;21,69;20,2;26,4
"2021-09-07 00:00:00";49;22,28;21,2;24
"2021-09-08 00:00:00";55;20,73;20;21,3
"2021-09-09 00:00:00";58;20,95;20,2;21,7
"2021-09-10 00:00:00";56;20,69;19,6;21,6
"2021-09-11 00:00:00";58;20,93;19,7;22,4
"2021-09-12 00:00:00";69;21,1;20,5;21,5
"2021-09-13 00:00:00";70;20,93;20,6;21,2
"2021-09-14 00:00:00";68;20,34;20;20,8
"2021-09-15 00:00:00";66;19,77;19,2;20,2
"2021-09-16 00:00:00";72;20,45;18,9;24,4
"2021-09-17 00:00:00";67;23,7;21,8;27,6
"2021-09-18 00:00:00";56;24,64;22;27,5
"2021-09-19 00:00:00";51;24,24;21,7;27,7
"2021-09-20 00:00:00";47;23,89;21,2;28,4
"2021-09-21 00:00:00";49;23,33;21,2;26,8
"2021-09-22 00:00:00";51;23,15;21,3;26,5
"2021-09-23 00:00:00";52;23,48;21,6;27,8
"2021-09-24 00:00:00";50;24,45;22,1;28,8
"2021-09-25 00:00:00";56;24,7;22,5;28
"2021-09-26 00:00:00";54;24,88;23,5;28,2
"2021-09-27 00:00:00";51;24,51;22,6;28
"2021-09-28 00:00:00";47;24,03;21,2;28
"2021-09-29 00:00:00";47;23,63;20,6;27,8
"2021-09-30 00:00:00";51;23,85;22;27
"2021-10-01 00:00:00";52;23,31;21;26,9
"2021-10-02 00:00:00";54;22,79;20,4;25,4
"2021-10-03 00:00:00";53;22,76;21;25,5
"2021-10-04 00:00:00";54;23,19;21,2;27
"2021-10-05 00:00:00";51;23,52;21,2;26,9
"2021-10-06 00:00:00";47;23,12;20,7;26,3
"2021-10-07 00:00:00";44;23,84;21;29
"2021-10-08 00:00:00";43;24,94;22,9;29,4
"2021-10-09 00:00:00";43;24,49;22,1;29,4
"2021-10-10 00:00:00";41;24,81;22,3;27,9
"2021-10-11 00:00:00";44;23,11;21,7;25,9
"2021-10-12 00:00:00";45;22,67;20,6;26,5
"2021-10-13 00:00:00";47;22,52;20,8;25,7
"2021-10-14 00:00:00";45;22,5;19,9;26
"2021-10-15 00:00:00";48;22,87;20,3;27,4
"2021-10-16 00:00:00";47;24,14;21,2;28,4
"2021-10-17 00:00:00";45;23,7;21,4;27,5
"2021-10-18 00:00:00";45;23,74;21,2;28,9
"2021-10-19 00:00:00";46;24,21;21,6;28,1
"2021-10-20 00:00:00";48;24,36;22,3;28,6
"2021-10-21 00:00:00";44;25,65;23,1;30,2
"2021-10-22 00:00:00";41;25,85;23;29,3
"2021-10-23 00:00:00";44;24,24;21,9;26,9
"2021-10-24 00:00:00";44;23,62;21,5;26,7
"2021-10-25 00:00:00";41;22,87;19;27,4
"2021-10-26 00:00:00";42;23,68;20,5;28,5
"2021-10-27 00:00:00";45;25,07;22,4;29,6
"2021-10-28 00:00:00";45;25,88;23,3;30,1
"2021-10-29 00:00:00";42;24,97;21,9;28,1
"2021-10-30 00:00:00";45;24,02;21,6;26,8
"2021-10-31 00:00:00";45;22,35;20,5;24,3
"2021-11-01 00:00:00";44;22,53;19,5;25,7
"2021-11-02 00:00:00";43;22,79;19,1;27,9
"2021-11-03 00:00:00";44;24,38;21,9;29,2
"2021-11-04 00:00:00";44;24,19;21,5;28,3
"2021-11-05 00:00:00";42;24,36;22;28,3
"2021-11-06 00:00:00";45;23,75;21,4;26,9
"2021-11-07 00:00:00";42;23,18;20,5;26,9
"2021-11-08 00:00:00";45;23,85;21,5;28,1
"2021-11-09 00:00:00";42;23,83;21;28,6
"2021-11-10 00:00:00";40;23,4;21;27,9
"2021-11-11 00:00:00";42;23,91;21,2;27,4
"2021-11-12 00:00:00";44;24,17;22,2;26,2
"2021-11-13 00:00:00";46;22,11;17,8;24,4
"2021-11-14 00:00:00";48;22,1;19,8;25,5
"2021-11-15 00:00:00";43;22,82;20,6;26
"2021-11-16 00:00:00";43;23,98;20,4;28,3
"2021-11-17 00:00:00";42;24,11;21,6;26,9
"2021-11-18 00:00:00";42;24,17;22;26
"2021-11-19 00:00:00";46;23,99;22,2;26,1
"2021-11-20 00:00:00";47;22,95;20,8;24,6
"2021-11-21 00:00:00";50;22,8;20,4;26,4
"2021-11-22 00:00:00";45;23,37;20,5;28,4
"2021-11-23 00:00:00";41;23,82;20,6;29,4
"2021-11-24 00:00:00";43;25,31;23,7;27,6
"2021-11-25 00:00:00";40;23,97;21,1;29
"2021-11-26 00:00:00";39;23,58;21,5;25,9
"2021-11-27 00:00:00";40;23,01;19,7;27,1
"2021-11-28 00:00:00";42;23,9;20,5;26,6
"2021-11-29 00:00:00";40;23,3;20,1;29
"2021-11-30 00:00:00";38;23,24;19,9;28,6
"2021-12-01 00:00:00";38;23,28;19,4;29,2
"2021-12-02 00:00:00";38;23,64;20,8;28,4
"2021-12-03 00:00:00";36;23,07;20,3;26,9
"2021-12-04 00:00:00";36;22,36;17,7;27,2
"2021-12-05 00:00:00";37;23,18;19,8;26,6
"2021-12-06 00:00:00";36;23,1;19,7;28,4
"2021-12-07 00:00:00";35;23,35;19,6;29,3
"2021-12-08 00:00:00";33;22,95;19,2;28,7
"2021-12-09 00:00:00";33;22,07;18,4;27,9
"2021-12-10 00:00:00";34;22,24;18,7;27,4
"2021-12-11 00:00:00";37;23,64;20,7;28,7
"2021-12-12 00:00:00";37;24,09;21,3;27,1
"2021-12-13 00:00:00";35;22,48;19;27,7
"2021-12-14 00:00:00";37;21,83;18,6;27,3
"2021-12-15 00:00:00";38;21,77;18,8;27,3
"2021-12-16 00:00:00";40;22,82;19,9;28,7
"2021-12-17 00:00:00";39;22,91;20,1;26,2
"2021-12-18 00:00:00";40;23,88;21;28,6
"2021-12-19 00:00:00";38;24,85;21,9;27,9
"2021-12-20 00:00:00";35;23,77;20,6;28,2
"2021-12-21 00:00:00";33;23,01;19,5;28,4
"2021-12-22 00:00:00";33;22,53;19,1;27,4
"2021-12-23 00:00:00";32;22,16;18,3;28,2
"2021-12-24 00:00:00";35;23,37;19,4;29,5
"2021-12-25 00:00:00";32;23,7;20,9;27,2
"2021-12-26 00:00:00";32;22,91;20,3;25,7
"2021-12-27 00:00:00";30;21,3;17,4;26,4
"2021-12-28 00:00:00";32;21,76;16,4;27,5
"2021-12-29 00:00:00";31;21,79;17,7;26,8
"2021-12-30 00:00:00";34;22,21;18,7;28,8
"2021-12-31 00:00:00";38;23,2;19,9;28,6
"2022-01-01 00:00:00";44;23,8;20,4;27,9
"2022-01-02 00:00:00";40;23,96;21,8;25,7
"2022-01-03 00:00:00";41;23,49;20,6;28,7
"2022-01-04 00:00:00";40;24,63;20,8;30,8
"2022-01-05 00:00:00";40;24,98;22,2;28,2
"2022-01-06 00:00:00";39;24,01;21,5;26,6
"2022-01-07 00:00:00";36;23,74;20,1;27
"2022-01-08 00:00:00";34;23,49;20,4;26,3
"2022-01-09 00:00:00";34;23,46;20,7;26,1
"2022-01-10 00:00:00";34;22,53;19,5;27,5
"2022-01-11 00:00:00";34;22,15;18,5;27,6
"2022-01-12 00:00:00";32;23,1;19,4;29,1
"2022-01-13 00:00:00";34;22,96;19,9;26,7
"2022-01-14 00:00:00";35;23,29;20;28,1
"2022-01-15 00:00:00";36;24,05;20,4;27,6
"2022-01-16 00:00:00";37;24,99;21,9;28,9
"2022-01-17 00:00:00";36;25,09;22,9;27,1
"2022-01-18 00:00:00";36;23,95;21,9;26,3
"2022-01-19 00:00:00";37;23,33;20,8;27
"2022-01-20 00:00:00";36;23,93;21,4;28,3
"2022-01-21 00:00:00";34;24,67;21,9;27,4
"2022-01-22 00:00:00";34;23,45;20,9;25,8
"2022-01-23 00:00:00";35;23,38;20,6;27,3
"2022-01-24 00:00:00";34;23,96;20,7;28,1
"2022-01-25 00:00:00";37;24,91;22,2;29,6
"2022-01-26 00:00:00";38;24,57;22,8;26,8
"2022-01-27 00:00:00";37;23,07;20,2;27
"2022-01-28 00:00:00";36;22,85;19,5;27,9
"2022-01-29 00:00:00";36;23,29;20,7;26,4
"2022-01-30 00:00:00";38;24,04;21,2;28,1
"2022-01-31 00:00:00";36;24,78;22,5;27,9
"2022-02-01 00:00:00";35;22,72;19,6;27,7
"2022-02-02 00:00:00";36;21,83;19,1;26,2
"2022-02-03 00:00:00";38;21,87;19,2;25,8
"2022-02-04 00:00:00";38;21,68;18,8;26,6
"2022-02-05 00:00:00";39;22,47;19,6;26
"2022-02-06 00:00:00";38;23,46;19,9;28,6
"2022-02-07 00:00:00";39;23,34;20,9;26,3
"2022-02-08 00:00:00";39;22,48;19,7;27,4
"2022-02-09 00:00:00";40;22,65;20,3;27,5
"2022-02-10 00:00:00";42;22,51;19,8;27,4
"2022-02-11 00:00:00";39;23,96;21,2;27,6
"2022-02-12 00:00:00";37;24,39;21,3;27,5
"2022-02-13 00:00:00";35;24,43;21,5;29
"2022-02-14 00:00:00";35;23,15;20,7;26
"2022-02-15 00:00:00";36;22,94;19,6;27,8
"2022-02-16 00:00:00";36;23,42;20,4;27,9
"2022-02-17 00:00:00";40;24,06;22,3;27,5
"2022-02-18 00:00:00";37;23,43;20,9;28,4
"2022-02-19 00:00:00";38;22,99;20,2;25,4
"2022-02-20 00:00:00";38;22,81;19,5;25,7
"2022-02-21 00:00:00";40,0909090909091;22,9106060606061;20,4;26,6
