"DateTime";"Wilgotność";"Temperatura Average";"Temperatura Range (low)";"Temperatura Range (high)"
"2021-12-24 00:00:00";41;22,28;19;26,9
"2021-12-25 00:00:00";40;22,14;19,4;24,8
"2021-12-26 00:00:00";38;22,44;19,6;25,2
"2021-12-27 00:00:00";38;21,06;17,1;25,2
"2021-12-28 00:00:00";41;21,8;18,5;26
"2021-12-29 00:00:00";38;21,03;16,9;25,3
"2021-12-30 00:00:00";41;21,03;17,6;25,9
"2021-12-31 00:00:00";45;21,55;18,3;26,6
"2022-01-01 00:00:00";46;23,13;20,3;26,6
"2022-01-02 00:00:00";46;23,45;20,7;25,3
"2022-01-03 00:00:00";47;22,7;19,9;26,3
"2022-01-04 00:00:00";47;22,72;20;26,7
"2022-01-05 00:00:00";47;22,81;20,1;26
"2022-01-06 00:00:00";46;23,16;19,7;26,7
"2022-01-07 00:00:00";44;23,12;20;25,5
"2022-01-08 00:00:00";42;23,11;20,6;26,7
"2022-01-09 00:00:00";42;23,07;20,4;26
"2022-01-10 00:00:00";41;21,85;18,5;25,5
"2022-01-11 00:00:00";40;21,31;18;25,9
"2022-01-12 00:00:00";40;21,33;17,7;25,6
"2022-01-13 00:00:00";41;21,26;17,6;25,4
"2022-01-14 00:00:00";42;21,92;18,6;26,1
"2022-01-15 00:00:00";43;22,74;20;25
"2022-01-16 00:00:00";44;23,37;20,2;26,4
"2022-01-17 00:00:00";43;23,5;21,3;25,9
"2022-01-18 00:00:00";41;23,18;19,8;25,9
"2022-01-19 00:00:00";43;23,08;20,3;26,4
"2022-01-20 00:00:00";42;23,37;20,3;26
"2022-01-21 00:00:00";39;23,68;19,9;26,9
"2022-01-22 00:00:00";39;22,85;19,6;25,8
"2022-01-23 00:00:00";40;23,08;19,9;26
"2022-01-24 00:00:00";40;23,63;20,8;26
"2022-01-25 00:00:00";42;23,55;20,8;26,4
"2022-01-26 00:00:00";44;23,44;21,3;26,4
"2022-01-27 00:00:00";43;22,18;19,4;25,3
"2022-01-28 00:00:00";42;21,74;18,6;26,2
"2022-01-29 00:00:00";41;22,51;18,4;26
"2022-01-30 00:00:00";43;23,15;20,4;26,4
"2022-01-31 00:00:00";43;23,41;21,2;25,8
"2022-02-01 00:00:00";42;21,92;19;25,6
"2022-02-02 00:00:00";43;21,35;17,9;25,4
"2022-02-03 00:00:00";42;21,63;18,7;25,4
"2022-02-04 00:00:00";44;21,36;18,6;25,2
"2022-02-05 00:00:00";45;22,29;18,8;26,1
"2022-02-06 00:00:00";44;23,02;20;26,1
"2022-02-07 00:00:00";45;22,22;19,5;25,2
"2022-02-08 00:00:00";44;21,73;18,4;25,4
"2022-02-09 00:00:00";45;21,84;19,4;25,1
"2022-02-10 00:00:00";47;21,78;19,2;25,7
"2022-02-11 00:00:00";46;22,84;19,9;26
"2022-02-12 00:00:00";42;23,76;20,3;27,1
"2022-02-13 00:00:00";41;23,58;20,9;26
"2022-02-14 00:00:00";42;22,25;20,3;25,4
"2022-02-15 00:00:00";42;22,34;19,8;26,2
"2022-02-16 00:00:00";43;22,58;20,3;26,1
"2022-02-17 00:00:00";44;23,48;21,5;25,8
"2022-02-18 00:00:00";43;22,65;20,4;26,4
"2022-02-19 00:00:00";43;22,72;20,2;25,5
"2022-02-20 00:00:00";44;23,01;20,1;26
"2022-02-21 00:00:00";45,3068181818182;22,5159090909091;20,2;26
