"DateTime";"Wilgotność";"Temperatura"
"2022-02-21 10:20:00";46;20,9
"2022-02-21 10:25:00";47;20,9
"2022-02-21 10:30:00";46;20,9
"2022-02-21 10:35:00";46;20,9
"2022-02-21 10:40:00";46;20,9
"2022-02-21 10:45:00";46;20,9
"2022-02-21 10:50:00";46;20,9
"2022-02-21 10:55:00";46;20,9
"2022-02-21 11:00:00";47;20,9
"2022-02-21 11:05:00";46;20,9
"2022-02-21 11:10:00";47;20,9
"2022-02-21 11:15:00";46;20,9
"2022-02-21 11:20:00";46;20,8
"2022-02-21 11:25:00";46;20,8
"2022-02-21 11:30:00";46;20,8
"2022-02-21 11:35:00";46;20,8
"2022-02-21 11:40:00";46;20,8
"2022-02-21 11:45:00";46;20,8
"2022-02-21 11:50:00";46;20,8
"2022-02-21 11:55:00";46;20,8
"2022-02-21 12:00:00";46;20,8
"2022-02-21 12:05:00";46;20,7
"2022-02-21 12:10:00";46;20,7
"2022-02-21 12:15:00";46;20,7
"2022-02-21 12:20:00";45;20,7
"2022-02-21 12:25:00";45;20,6
"2022-02-21 12:30:00";45;20,5
"2022-02-21 12:35:00";45;20,5
"2022-02-21 12:40:00";45;20,4
"2022-02-21 12:45:00";45;20,4
"2022-02-21 12:50:00";44;20,4
"2022-02-21 12:55:00";44;20,4
"2022-02-21 13:00:00";44;20,3
"2022-02-21 13:05:00";45;20,4
"2022-02-21 13:10:00";45;20,4
"2022-02-21 13:15:00";45;20,4
"2022-02-21 13:20:00";45;20,4
"2022-02-21 13:25:00";45;20,4
"2022-02-21 13:30:00";45;20,4
"2022-02-21 13:35:00";45;20,4
"2022-02-21 13:40:00";45;20,4
"2022-02-21 13:45:00";45;20,3
"2022-02-21 13:50:00";45;20,3
"2022-02-21 13:55:00";45;20,3
"2022-02-21 14:00:00";45;20,3
"2022-02-21 14:05:00";45;20,3
"2022-02-21 14:10:00";45;20,3
"2022-02-21 14:15:00";45;20,3
"2022-02-21 14:20:00";45;20,3
"2022-02-21 14:25:00";45;20,3
"2022-02-21 14:30:00";45;20,2
"2022-02-21 14:35:00";45;20,2
"2022-02-21 14:40:00";45;20,2
"2022-02-21 14:45:00";45;20,2
"2022-02-21 14:50:00";45;20,2
"2022-02-21 14:55:00";45;20,2
"2022-02-21 15:00:00";45;20,2
"2022-02-21 15:05:00";45;20,2
"2022-02-21 15:10:00";45;20,2
"2022-02-21 15:15:00";45;20,3
"2022-02-21 15:20:00";44;20,4
"2022-02-21 15:25:00";44;20,6
"2022-02-21 15:30:00";44;20,8
"2022-02-21 15:35:00";44;21,1
"2022-02-21 15:40:00";43;21,3
"2022-02-21 15:45:00";43;21,6
"2022-02-21 15:50:00";42;21,9
"2022-02-21 15:55:00";42;22,1
"2022-02-21 16:00:00";41;22,4
"2022-02-21 16:05:00";41;22,6
"2022-02-21 16:10:00";41;22,9
"2022-02-21 16:15:00";41;23,1
"2022-02-21 16:20:00";40;23,3
"2022-02-21 16:25:00";40;23,5
"2022-02-21 16:30:00";40;23,6
"2022-02-21 16:35:00";40;23,7
"2022-02-21 16:40:00";39;23,9
"2022-02-21 16:45:00";39;24
"2022-02-21 16:50:00";39;24,1
"2022-02-21 16:55:00";39;24,2
"2022-02-21 17:00:00";39;24,3
"2022-02-21 17:05:00";39;24,4
"2022-02-21 17:10:00";39;24,4
"2022-02-21 17:15:00";39;24,5
"2022-02-21 17:20:00";39;24,6
"2022-02-21 17:25:00";39;24,7
"2022-02-21 17:30:00";39;24,9
"2022-02-21 17:35:00";39;25
"2022-02-21 17:40:00";40;25,1
"2022-02-21 17:45:00";40;25,3
"2022-02-21 17:50:00";42;25,5
"2022-02-21 17:55:00";40;25,8
"2022-02-21 18:00:00";40;25,9
"2022-02-21 18:05:00";40;26
"2022-02-21 18:10:00";41;25,9
"2022-02-21 18:15:00";40;25,9
"2022-02-21 18:20:00";40;25,9
"2022-02-21 18:25:00";40;25,9
"2022-02-21 18:30:00";41;25,9
"2022-02-21 18:35:00";41;25,9
"2022-02-21 18:40:00";41;25,9
"2022-02-21 18:45:00";41;25,9
"2022-02-21 18:50:00";41;25,9
"2022-02-21 18:55:00";41;25,9
"2022-02-21 19:00:00";41;25,9
"2022-02-21 19:05:00";41;25,9
"2022-02-21 19:10:00";41;25,8
"2022-02-21 19:15:00";41;25,7
"2022-02-21 19:20:00";41;25,7
"2022-02-21 19:25:00";41;25,7
"2022-02-21 19:30:00";41;25,6
"2022-02-21 19:35:00";41;25,6
"2022-02-21 19:40:00";41;25,6
"2022-02-21 19:45:00";41;25,5
"2022-02-21 19:50:00";41;25,5
"2022-02-21 19:55:00";41;25,4
"2022-02-21 20:00:00";41;25,4
"2022-02-21 20:05:00";41;25,4
"2022-02-21 20:10:00";41;25,3
"2022-02-21 20:15:00";42;25,3
"2022-02-21 20:20:00";43;25,3
"2022-02-21 20:25:00";43;25,2
"2022-02-21 20:30:00";43;25,3
"2022-02-21 20:35:00";44;25,2
"2022-02-21 20:40:00";43;25,2
"2022-02-21 20:45:00";43;25,2
"2022-02-21 20:50:00";43;25,2
"2022-02-21 20:55:00";43;25,1
"2022-02-21 21:00:00";44;25,1
"2022-02-21 21:05:00";44;25,1
"2022-02-21 21:10:00";44;25
"2022-02-21 21:15:00";43;25
"2022-02-21 21:20:00";43;25
"2022-02-21 21:25:00";43;25
"2022-02-21 21:30:00";43;25
"2022-02-21 21:35:00";43;24,9
"2022-02-21 21:40:00";44;24,9
"2022-02-21 21:45:00";44;24,9
"2022-02-21 21:50:00";44;24,9
"2022-02-21 21:55:00";44;24,8
